ratingCategory,FactData__factName,FactData__factLink,FactData__factDesc,categoryID,,reset,objectName,riskCategory2
Design and building,RC&B � Ruddy�s Construction and Burger Co,https://www.discord.gg/gwSuZtW,"RC&B is a privately owned Starbase corporation dedicated to neutrality and confidentiality. We offer many services such repairs, ship building, station construction and much more.",3,Rating Category3,All Factions,154,Low
Design and building,Two Man Squad,https://www.discord.gg/r5uCey3,We tend to build the nitty-gritty stuff so others can benefit from it.,3,Rating Category3,All Factions,19,Low
Cargo and Transportation,Artemis Cargo Corporation,https://www.discord.gg/R8M35py,"Artemis Cargo Corporation is here to meet your cargo needs. From transportation of small items all the way to Larger Ships and even troops, ACC is here for you. Artemis Cargo Corporation represents the best in Cargo Transportation to the moon and back!",3,Rating Category3,All Factions,21,Low
Cargo and Transportation,The Cargo Carrying Corp. (CCC) -,https://www.discord.gg/DmbgzDd,A Company for deliveries and construction. Website:,3,Rating Category3,All Factions,174,Low
Cargo and Transportation,SpaceBus Inc.,https://www.discord.gg/JdjGP6,A neutral Bus company that offers services ranging from simple personnel and cargo transport to combat dropship piloting and even the construction/sale of our proprietary C.A.R.L.O.S missiles.,3,Rating Category3,All Factions,22,Low
YOLOL/Programming,Cylon - Collaborative Yolol Learning Open Network,https://www.discord.gg/rmu6aCr,"Cylon is an open non-faction community dedicated to forming a repository of knowledge for yolol, teaching said knowledge to others, and fostering research into new knowledge.",4,Rating Category4,All Factions,104,Low
YOLOL/Programming,Glua.team,https://www.discord.gg/6rsbUU8,Yolol community,4,Rating Category4,All Factions,23,Low
Tech/Engineering,Advanced Defense Systems Initiative,https://www.discord.gg/6rhxABk,"A small tech company that builds and codes stuff like stealth ships, auto turrets, and what ever else we decide to experiment with",5,Rating Category5,All Factions,126,Low
Tech/Engineering,The Machine,https://www.discord.gg/qdQUyqm,"The Machine is an industrial faction of the most innovative researchers, inventors and builders from around the galaxy",5,Rating Category5,All Factions,24,Low
Tech/Engineering,Paragon Technologies,https://www.discord.gg/y4ENCsn,"We will be selling technologies, ships, and trading resources. We will also be making ship factories for everyone to use",5,Rating Category5,All Factions,152,Low
Tech/Engineering,Sciphire,https://www.discord.gg/HgBW8NT,We focus on technology and automation while maintaining free markets for better economic growth,5,Rating Category5,All Factions,25,Low
Tech/Engineering,SkyJak Industries,https://www.discord.gg/qMd5k8s,SkyJak Industries is a construction focused private engineering company. https://www.skyjak.xyz/,5,Rating Category5,All Factions,172,Low
Tech/Engineering,Tegarn Empire,https://www.discord.gg/mRuz6X4,"We mainly focus on the development of new technologies and in the case of war, we have a dedicated military.",5,Rating Category5,All Factions,164,Low
Tech/Engineering,TI Alloys,https://www.discord.gg/TvXf6Wh,We are a neutral faction and a subsidiary of SkyJak Industries focused on developing advanced mining ships and cargo haulers in order to provide our buyers with quality machinery for all their industrial needs.,5,Rating Category5,All Factions,109,Low
Scavenger and scrapping,The Privateer Scavengers,https://www.discord.gg/Ny9E479,We are intergalactic scavengers and sell ships,6,Rating Category6,All Factions,137,Low
Scavenger and scrapping,The Scavengers,https://www.discord.gg/KA6N6bf,"We repair spaceships, sell spare parts and collect the ship wrecks after space battles to turn off or repair them to sell them. Germans preferred",6,Rating Category6,All Factions,5,Low
Scavenger and scrapping,The Sundered Swarm,https://www.discord.gg/PwcJ2NZ,Scavenger/Mercenary faction,6,Rating Category6,All Factions,26,Low
Scavenger and scrapping,Vulture Scrapping and Repair Co,https://www.discord.gg/u4g2Tax,Small scrapping business.,6,Rating Category6,All Factions,200,Low
Mining factions,Asteroid Control Team,https://www.discord.gg/d78JaAw,,7,Rating Category7,All Factions,156,Low
Mining factions,Black Rock Mining Corporation,https://www.discord.gg/FyXTvza,"Mining corp. Small hardcore clan, 18+, high requirements, Europe only",7,Rating Category7,All Factions,138,Low
Mining factions,The Mining Guild,https://www.discord.gg/frZPYua,Neutral mining faction,7,Rating Category7,All Factions,55,Low
Mining factions,Order of Anfarc,https://www.discord.gg/7Yftkph,Mining faction and a respectable trading partner.,7,Rating Category7,All Factions,163,Low
Exploration,Journeymen,https://www.discord.gg/2QMPcTD,We are mainly focused on deep space exploration and trade,8,Rating Category8,All Factions,18,Low
Exploration,Starfleet 907,https://www.discord.gg/7DP3E2T,We are explorers. Our primary mission is to explore the galaxy and to make new friends.,8,Rating Category8,All Factions,71,Low
Other Factions,Cardinal Guild,https://www.discord.gg/ezjfcY4,An association of map-making cartography nerds.,9,Rating Category9,All Factions,11,Low
Other Factions,Church of Bob,https://www.discord.gg/DweDswk,Religious faction,9,Rating Category9,All Factions,76,Low
Other Factions,Dooting Assassin Coalition,https://www.discord.gg/y8f3aVc,Assassins,9,Rating Category9,All Factions,101,Moderate
Other Factions,Dragon Bank,https://www.discord.gg/sW9n3na,Neutral Banking Faction,9,Rating Category9,All Factions,27,Moderate
Other Factions,Galactic News Network,https://www.discord.gg/hdwkavA,News Organization,9,Rating Category9,All Factions,39,Moderate
Other Factions,IRSL � Interplanetary Racing Sports League,https://www.discord.gg/pZ2bK4j,Racing faction,9,Rating Category9,All Factions,28,Moderate
Other Factions,The Library,https://www.discord.gg/WzAeBDn,We mainly focus on collecting the games lore and such and try to keep secretive and be a shadowy organization that keeps its head down and infiltrates other factions,9,Rating Category9,All Factions,37,Moderate
Other Factions,Peacekeeping Force,https://www.discord.gg/SKyy22u,"We are a security dedicated organization, mastering the art of diplomacy, ship/base designs and helping those in need.",9,Rating Category9,All Factions,81,Moderate
Other Factions,Save Our Ships [SOS],https://www.discord.gg/tzCQSdX,Search & Rescue Organization,9,Rating Category9,All Factions,125,Moderate
Other Factions,Starbase Bountyhunter Association,https://www.discord.gg/5wWKn33,We are a the bounty hunters of Starbase.,9,Rating Category9,All Factions,3,Moderate
Other Factions,Starbase SCP Foundation,https://www.discord.gg/MrHPqSS,Bugtesters,9,Rating Category9,All Factions,142,Moderate
Pirate factions,Anker Imperium,https://www.discord.gg/3qCfMPu,Pirate/Private Military Company,10,Rating Category10,All Factions,40,Moderate
Pirate factions,Black Code,https://www.discord.gg/aZD4cMS,We're a pirate faction set out to steal the moon.,10,Rating Category10,All Factions,79,Moderate
Pirate factions,The Bleeding Skull,https://www.discord.gg/FJnr7Fu,Pirate faction focused on becoming infamous throughout space and preforming great acts of glory.,10,Rating Category10,All Factions,134,Moderate
Pirate factions,Casually Addicted,https://www.discord.gg/ksMe9uV,We focus on having fun in a hardcore PvP environment. Application required. No salt allowed. 18+,10,Rating Category10,All Factions,49,Moderate
Pirate factions,Devil�s Descendants,https://www.discord.gg/ApwSJGq,A small pirate/scavenger faction (EU),10,Rating Category10,All Factions,99,Moderate
Pirate factions,Fate,https://www.discord.gg/qcMHKhh,A streaming community and we would be considered a pirate faction,10,Rating Category10,All Factions,119,Moderate
Pirate factions,Lion's Pride,https://www.discord.gg/wjuFueN,"Pirate Faction, streamer community.",10,Rating Category10,All Factions,44,Moderate
Pirate factions,MRVN MERCS,https://www.discord.gg/HUvFvZq,We are a mercenary pirate group where we plan heists and take on less than savory jobs for factions that want to keep their friendly appearance,10,Rating Category10,All Factions,136,Moderate
Pirate factions,Outlanders,https://www.discord.gg/dKbEV7G,We're a community of pirates and freelancing crews that have gotten together to create a place for people like us to live in.,10,Rating Category10,All Factions,29,Moderate
Pirate factions,Pegasus Industries,https://www.discord.gg/jXFNQre,Pirate faction,10,Rating Category10,All Factions,32,Moderate
Pirate factions,Shurikens,https://www.discord.gg/6fnMxdY,Space Fleet Sailors,10,Rating Category10,All Factions,36,Moderate
Pirate factions,Space Fleet Sailors,https://www.discord.gg/nrdF3jq,Just some simple pirates trying to survive amidst the space politics.,10,Rating Category10,All Factions,38,Moderate
Pirate factions,SpF30 - Space Force,https://www.discord.gg/7QKDZmQ,We're a group of new player friendly pirates that like to take over single systems to make pirate havens.,10,Rating Category10,All Factions,183,Moderate
Pirate factions,TNT,https://www.discord.gg/vAhESnR,Join the most aggressive pirate faction in the universe.,10,Rating Category10,All Factions,70,Low
Pirate factions,WAR � We Are Real,https://www.discord.gg/2cFmskX,We intend to be a pirate faction but we�re always up for trading with other factions.,10,Rating Category10,All Factions,178,Low
Pirate factions,Zephyrs,https://www.discord.gg/WkuXN8q,Secret society that only accepts the Elite,10,Rating Category10,All Factions,1,Low
Mercenary groups,DMD,https://www.discord.gg/hyC3r86,"Specializing as an all-rounder; ""DMD""'s ability to adapt to situation's has lead them to be a faction that shouldn't be trifled with.",11,Rating Category11,All Factions,80,Low
Mercenary groups,Echelon International,https://www.discord.gg/C7vys3V,Private Military Company,11,Rating Category11,All Factions,35,Low
Mercenary groups,Havoc Star Division,https://www.discord.gg/yDePq7w,We are a band of mercenaries,11,Rating Category11,All Factions,123,Low
Mercenary groups,Marauders,https://www.discord.gg/jrMz2E3,We are a crew of mercenaries that will do anything as long as money is involved.,11,Rating Category11,All Factions,179,Low
Mercenary groups,The Mosque,https://www.discord.gg/AfSS5jP,A space faring faction who conquers in the name of god,11,Rating Category11,All Factions,69,Low
Mercenary groups,MRVNS Mercenaries,https://www.discord.gg/x6BnwPF,We're a completely neutral mercenary faction providing our services for the highest bidder.,11,Rating Category11,All Factions,20,Low
Mercenary groups,Project Hammerhead,https://www.discord.gg/rRWBMCb,"A mercenary faction, which will be neutral in the game. Our main focus is combat, trading and scrapping. We can be hired by anyone for almost anything.",11,Rating Category11,All Factions,43,Low
Mercenary groups,Red Spear Operations [RSO],https://www.discord.gg/TznZQX9,A PMC group which will also do smaller odd jobs,11,Rating Category11,All Factions,54,Low
Mercenary groups,TK Corp,https://www.discord.gg/w4RF4Er,"We will be a mercenary faction, focusing on escort missions and contracts. Aswell as being self sustainable, having different groups dedicated to Programming, Resource gathering, and PvP.",11,Rating Category11,All Factions,45,Low
Mercenary groups,Umbra Mortis,https://www.discord.gg/jx5fnXR,"A small mercenary group looking to fulfill but not limited to escort, and bounty type missions",11,Rating Category11,All Factions,131,Low
Military factions,The Coalition,https://www.discord.gg/nRX7baW,"We seek to create a milsim style experience (ranks, callsigns, etc) with our multiple subgroups, having an in depth lore too.",12,Rating Category12,All Factions,181,Low
Military factions,Dark Army,https://www.discord.gg/BVfbqbw,We are the Dark Army a Faction dedicated to raging war. Our main Objective is to take over anything that crosses our path,12,Rating Category12,All Factions,17,Low
Military factions,The Epic Military,https://www.discord.gg/PX6vc4A,,12,Rating Category12,All Factions,41,Low
Military factions,The Federation of Stars,https://www.discord.gg/4h5tjj9,,12,Rating Category12,All Factions,195,Low
Military factions,New Prussia,https://www.discord.gg/JGRT3ZE,We are a military neutral faction that characterizes itself on the state of the original Germany WWI and prior,12,Rating Category12,All Factions,92,Low
Military factions,Project Ironside,https://www.discord.gg/VE8dwS6,Milsim PMC,12,Rating Category12,All Factions,100,Low
Military factions,Rambo Alliance/Rambo,https://www.discord.gg/Cn6Mpw3,Autocratic Marauders Empire (military),12,Rating Category12,All Factions,108,Low
Military factions,Todan Corporation,https://www.discord.gg/ExvNfp8,"Private military, and general contracting corporation.",12,Rating Category12,All Factions,33,Low
Empire allies,LEO � Legacy of the Eternal Order,https://www.discord.gg/q5zGKma,We are a PvP/PvE community representing Empire faction within game. Our primary goal is to be top notch explorers and shipbuilders while forming strong alliances with other Empire and Neutral factions,13,Rating Category13,All Factions,53,Low
Empire allies,ORA- Outer Rim Alliance,https://www.discord.gg/5rS2Zxn,Our goal is to build a prosperous sector of space in which everyone can safely trade with as and establish diplomatic alliances. We are mostly neutral however we are leaning towards the Empire.,13,Rating Category13,All Factions,30,Low
Kingdom allies,Particle Research Laboratories,https://www.discord.gg/VMzqsnp,"An industrial faction that refines raw materials, reprocesses old materials, and researches new materials for their use in ships, weapons, and other goods made in-faction. We are a faction that is closely linked to the kingdom and its rebellion against the empire and hope to become one of its leading manufacturers of ships and weapons as well as other necessary goods for the cause.",14,Rating Category14,All Factions,78,Low
Kingdom allies,UESC - United Earth Space Corps,https://www.discord.gg/4hxk98Y,The largest 'Kingdom' military faction. All forms of military combat will be a primary focus. We fight for Freedom and for the Kingdom!,14,Rating Category14,All Factions,148,High
Kingdom allies,The Fellowship of The Frog,https://www.discord.gg/T8QwWMk,"The Fellowship of The Frog follows a feudal system and is a faction allied to the Kingdom with the goals of bringing down the Empire as well as the goal to reach the Pond of the cosmos. The faction aims to be self sufficient and host its own military, the poison dart frogs",14,Rating Category14,All Factions,157,High
Neutral factions,The Adventurers Guild,https://www.discord.gg/bgZRdFy,A true neutral company that provides everyone with something to do,15,Rating Category15,All Factions,63,High
Neutral factions,?LT?RR? Corporation,https://www.discord.gg/xTV5CfQ,We are a neutral faction focusing on trading and exploration.,15,Rating Category15,All Factions,198,High
Neutral factions,D.E.M - Dark Epoch Mafia,https://www.discord.gg/Y7AQ6RW,We are a neutral based faction that defend businesses and local community's for fee's.,15,Rating Category15,All Factions,155,Moderate
Neutral factions,Earanthral/Glacial Wyverns,https://www.discord.gg/UVDxCSm,"Neutral, but will do what we want, will help anyone who needs it. But, if that means to go against another faction then so be it.",15,Rating Category15,All Factions,160,Moderate
Neutral factions,Fenrir Star Alliance,https://www.discord.gg/b2AStyB,We are a europe based faction focusing primarily on production and expansion. We allow a lot of personal freedom to our members.,15,Rating Category15,All Factions,115,Moderate
Neutral factions,The First Order,https://www.discord.gg/YfrftxK,"We will primarily be a transportation and mining faction. We will be looking for builders, transport pilots, fighter pilots mining pilots and you are free to do all the above.",15,Rating Category15,All Factions,47,Moderate
Neutral factions,The Great Space Expo,https://www.discord.gg/Hd9ymAN,Neutral community event,15,Rating Category15,All Factions,128,High
Neutral factions,HEHEHE�s bounty hunting agency,https://www.discord.gg/QHBu8kX,"This is simple bounty hunting agency that is neutral, I will do any job that does not go against my guidelines for hiring.",15,Rating Category15,All Factions,46,Moderate
Neutral factions,Iron Wolves,https://www.discord.gg/QmY9TWH,"A group of builders, engineers, programmers...oh and space-flying Robots of course. We're a neutral faction and soon a force to be reckoned with. We like trading but are mainly mercenaries.",15,Rating Category15,All Factions,50,High
Neutral factions,Lack of Diplomacy,https://www.discord.gg/TK8YRaD,Neutral multipurpose contractors.,15,Rating Category15,All Factions,82,High
Neutral factions,LenMik Industries,https://www.discord.gg/C8CsXuP,Neutral Corporation,15,Rating Category15,All Factions,122,High
Neutral factions,Lost Warriors,https://www.discord.gg/ZadRzbJ,Neutral construction / anti pirate group,15,Rating Category15,All Factions,103,High
Neutral factions,Mjolnir Arms (Centri Gaming Network),https://www.discord.gg/K4q3pfq,A Neutral group dedicated to shipbuilding and mercenary work,15,Rating Category15,All Factions,129,High
Neutral factions,Morphius Inc,https://www.discord.gg/4Sde9KR,The faction that lets you play the roles you enjoy,15,Rating Category15,All Factions,51,High
Neutral factions,The Orb,https://www.discord.gg/cqsqjeg,The Orb is a large group of players that will build and maintain one of the largest true neutral player stations in Starbase,15,Rating Category15,All Factions,87,High
Neutral factions,Orchestra,https://www.discord.gg/0rSSLXIfNaOfRU9u,"Neutral corporation with a focus on multiple industries (ship building, trading, mercenary services, etc.)",15,Rating Category15,All Factions,134,Sort
Neutral factions,Phoenix Alliance,https://www.discord.gg/MHEtHQQ,"We are a neutral faction that is not, a tyrannical dictatorship or hive that forces people to work, or a faction focusing on solely one operation such as just ship building (Factory work)",15,Rating Category15,All Factions,135,Sort
Neutral factions,Reavers - Reaver Innovative Solutions,https://www.discord.gg/dvZD3k9,Neutral service oriented faction dedicated to solving your most difficult problems.,15,Rating Category15,All Factions,136,Sort
Neutral factions,Rising Sun Corporation,https://www.discord.gg/xAcrhRY,A neutral trading and militaristic faction.,15,Rating Category15,All Factions,137,Sort
Neutral factions,The Society,https://www.discord.gg/2dDs43B,"The Society, we are neutral, Trade/Mining/Smugler, English.",15,Rating Category15,All Factions,138,Sort
Neutral factions,UEG � United Earth Government,https://www.discord.gg/uQ5qs8M,"We are a neutral faction who mines, trades, and sells, but will not back away from defending our assets.",15,Rating Category15,All Factions,139,Sort
Neutral factions,Xodus Manufacturing Corporation (XMC),https://www.discord.gg/Jee6YTU,A neutral faction with that main focus on making a mega base for tradeing between the neutral factions,15,Rating Category15,All Factions,140,Sort
French,Starbase FR,https://www.discord.gg/JbGGpYN,,16,Rating Category16,All Factions,141,Sort
French,Union Galactique Terran,https://www.discord.gg/rqTVakP,,16,Rating Category16,All Factions,142,Sort
French,French-Navy,https://www.discord.gg/Pfna5Fs,"An old school french mature multi-gaming community since 2003. Playing Starbase with a non-piracy gameplay, we can provide industrial or tactical supports to any faction within our alliance board. Speaking english and ch'ti",16,Rating Category16,All Factions,143,Sort
Russian,Starbase RU,https://www.discord.gg/mJVtk33,Russian-speaking Starbase Community,17,Rating Category17,All Factions,144,Sort
Russian,RF � Russian Federation,https://www.discord.gg/yEUQ5Y9,,17,Rating Category17,All Factions,145,Sort
Russian,The Cobrastan Cult [TCC],https://www.discord.gg/GRYAbfd,Russian-speaking PVP community,17,Rating Category17,All Factions,146,Sort
Russian,Machine Scavengers,https://www.discord.gg/aHpP3Jg,Russian community,17,Rating Category17,All Factions,147,Sort
German,The Call,https://www.discord.gg/EQBBNPd,German community,18,Rating Category18,All Factions,148,Sort
German,Deutsche Space Cargo,https://www.discord.gg/ccGJtK,Mainly German community,18,Rating Category18,All Factions,149,Sort
German,Softwerker,https://www.discord.gg/5hpYSGt,"A small German Community (average age 25+), focused on PvE exploration and building. Neutral faction",18,Rating Category18,All Factions,150,Sort
German,Walhalla,https://www.discord.gg/MhN2J2r,"German gaming community, Empire, focus on pvp",18,Rating Category18,All Factions,151,Sort
Other language,Aseveljet,https://www.discord.gg/XMRCYGE,"Suomalainen peliyhteis�, K-18, Finnish Community",19,Rating Category19,All Factions,152,Sort
Other language,Slavic Federation,https://www.discord.gg/FsdwsEQ,"A peaceful faction focused on all aspects of the game (Mining, Construction, Trade, Research and Fight), intended for all Slavs (Slovac, Czechs, Polacy, P?????, Y???????, ????????, ????, Hrvati, ??????????, ???????????, Bosnia , ???????)",19,Rating Category19,All Factions,153,Sort
Other language,Space Latino Industry,https://www.discord.gg/Yp6Quax,Latin community,19,Rating Category19,All Factions,154,Sort
Other language,Titan Dimension,https://www.discord.gg/pbeb6cb,We are a small Hungarian community.,19,Rating Category19,All Factions,155,Sort
Gaming,Alehouse Gaming,http://www.discord.gg/RgMke5w,Gaming community,20,Rating Category20,All Factions,156,Sort
Gaming,CNCR,https://www.discord.gg/CUeNSMk,"A conglomeration of funposters-in-arms, focused on having fun and enjoyment in games.",20,Rating Category20,All Factions,157,Sort
Gaming,Devils Brigade,https://www.discord.gg/FctUJea,We're a large gaming community/clan.,20,Rating Category20,All Factions,158,Sort
Gaming,Exile Gaming,https://www.discord.gg/ExileGaming,Esports team.,20,Rating Category20,All Factions,159,Sort
Gaming,Ghosts of the Revolution,https://www.discord.gg/Dq4fZht,A gaming community that has been around for about 15 years and has its roots in Planetside 1 and 2.,20,Rating Category20,All Factions,160,Sort
Gaming,Military Veteran Gamers,https://www.discord.gg/3NJaEQg,Healing through gaming,20,Rating Category20,All Factions,161,Sort
Gaming,Misfit Army,https://www.discord.gg/sWKgjxW,"From people that enjoy mindless grinding for resources to support the war machine, to people that enjoy striking fear into the hearts of many whether that being with swords, crossbows, guns, massive space ships or attacking our opponents emotions with big mean words.",20,Rating Category20,All Factions,162,Sort
Gaming,RARE�,https://www.discord.gg/gQ3XEb8,"Casual Yet Tight Knit Community, With A Overall Goal Of Being RARE�. NA - ENGLISH GUILD.",20,Rating Category20,All Factions,163,Sort
Gaming,Steelwing Ravens,https://www.discord.gg/vZ9mKQz,,20,Rating Category20,All Factions,164,Sort
Gaming,UBGE,https://www.discord.gg/F8Pjnj2,"UBGE is a Brazilian multi-gaming community that has a strong emphasis on promoting ethics, respect and teamwork in games",20,Rating Category20,All Factions,165,Sort
Gaming,Voodoo Shipping Company,https://www.discord.gg/hkcveVu,"Voodoo Shipping Company is an independent organization that specializes in full-stack merchant activities such as mining, developing, shipping, trading, and security service. Neutral.",20,Rating Category20,All Factions,166,Sort
